link;correct_ocr;misread_word;newspaper
http://hdl.handle.net/109.3.1/uuid:ff1ee404-7343-4c37-8558-0562bdf7c715;1;NA;dagen1803
http://hdl.handle.net/109.3.1/uuid:140880ef-d527-41f3-975b-a02505a40c25;0;Kjøbenhavn;dagensnyheder
http://hdl.handle.net/109.3.1/uuid:2501c904-42bf-4eae-a503-4084d8a7b747;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:31f21662-59c5-4ada-b7ab-f7ffeb1c902c;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:6bdac312-9479-4983-b4d9-1f3350f39a1b;1;NA;vejleamtsfolkeblad
http://hdl.handle.net/109.3.1/uuid:fd658a7e-c992-46a6-a51c-a8e6d90c4432;1;NA;stubbekoebingavis
http://hdl.handle.net/109.3.1/uuid:421c0f82-f445-47f9-9f7a-14df532fe44f;1;NA;jyllandsposten
http://hdl.handle.net/109.3.1/uuid:7629652b-7741-4640-8700-4277fa086839;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:c7269e4f-3f05-41de-98fa-a861ce97036d;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:ca5e28fa-f484-417b-a176-6697b8c6943c;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:c6445c28-7fbb-43e1-9618-f0255a77ab8a;1;NA;kjoegeavis
http://hdl.handle.net/109.3.1/uuid:ca3c85e1-3098-4831-ba5b-e75e640b9ce4;1;NA;soroeamtstidende
http://hdl.handle.net/109.3.1/uuid:be60003e-edcf-4ff4-adaf-cfc238060d31;1;NA;soroeamtstidende
http://hdl.handle.net/109.3.1/uuid:4ada606c-c413-4f33-9591-d0c152429216;0;Gjødningsforretning;soroeamtstidende
http://hdl.handle.net/109.3.1/uuid:75e39fb0-5d87-4e55-8f9e-87b130d19cdd;1;NA;horsensfolkeblad
http://hdl.handle.net/109.3.1/uuid:767df195-ceb3-4958-ad0b-7b568e067f38;0;Kjøbelodder;aarhusstiftstidende
http://hdl.handle.net/109.3.1/uuid:6b02adf7-b9bd-4ad2-aee6-c7b53b92facc;0;Dansk;adresseavisen
http://hdl.handle.net/109.3.1/uuid:a88f204c-364d-41be-b1ce-e9e22f5e43f1;0;Kjøbenhavn;fyensstiftstidende
http://hdl.handle.net/109.3.1/uuid:a30b869d-2147-467b-83ef-4fdd6ac5c698;0;Comiteen;berlingske
http://hdl.handle.net/109.3.1/uuid:1665f618-301e-4729-8ab5-d7a6b16d7459;1;NA;berlingske
http://hdl.handle.net/109.3.1/uuid:9d78296a-2649-4d1c-80be-5efc34ed2c8f;1;NA;folketidenderingsted
http://hdl.handle.net/109.3.1/uuid:c575376e-a724-42dc-ae93-a39a0feaa2a8;1;NA;socialdemokraten
http://hdl.handle.net/109.3.1/uuid:c17a64ef-a4be-4113-9fca-f0ded56608b9;0;Kjøbenhavn;aalborgstiftstidende
http://hdl.handle.net/109.3.1/uuid:0b51bd0a-41e7-4a07-85f2-8dab7b32b744;0;Kjøbenhavn;aalborgstiftstidende
http://hdl.handle.net/109.3.1/uuid:bb96e9cb-cda8-4eb1-b88c-c4b3ac073cb1;1;NA;aarhusstiftstidende
http://hdl.handle.net/109.3.1/uuid:f51856f4-2462-47d3-b4a2-498a0cb729f9;1;NA;vendsysseltidende
http://hdl.handle.net/109.3.1/uuid:3fb5d1ee-a503-4992-b61a-b34e097a4340;0;Kjøbenhavn.Kjøbenhavn;fyensstiftstidende
http://hdl.handle.net/109.3.1/uuid:b6f1688f-fac0-4e5e-bb16-8a28ef65c510;0;Kjøbenhavn;fyensstiftstidende
http://hdl.handle.net/109.3.1/uuid:9458ef8e-ff4f-4d63-ab5b-7ad474f7f42c;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:124cbb76-7bba-4267-8e2a-666a4c700e8b;0;Kjøbenhavn-Kønigsberg;berlingske
http://hdl.handle.net/109.3.1/uuid:8d5aeda0-437a-4c3f-b0b9-81babbd742eb;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:445d2cb1-c245-48be-8d96-2872495118fc;1;NA;berlingske
http://hdl.handle.net/109.3.1/uuid:7ffac32d-005a-468c-8e76-82405c60c802;1;NA;faedrelandet
http://hdl.handle.net/109.3.1/uuid:df04528c-9a67-4b9e-9b73-8fd292b0bef0;1;NA;faedrelandet
http://hdl.handle.net/109.3.1/uuid:c6e3e906-df58-44f1-84e6-778f9b4abe90;1;NA;faedrelandet
http://hdl.handle.net/109.3.1/uuid:89947e7d-a618-48ff-8c02-0fcd8899f614;0;Samlet;dagen1803
http://hdl.handle.net/109.3.1/uuid:33cef744-a483-420b-9373-6bc43bf3c356;1;NA;thistedamtsavis
http://hdl.handle.net/109.3.1/uuid:c43a5010-3eba-434b-b232-0b4e92bf0f36;1;NA;slagelseposten
http://hdl.handle.net/109.3.1/uuid:af39899f-3dcc-423a-ad9e-feb7abc33ee8;0;Nykjøbing;lollandfalstersstiftstidende
http://hdl.handle.net/109.3.1/uuid:ec7e25a0-15b0-41e2-9b97-58611c9ec8dc;1;NA;folketsaviskoebenhavn
http://hdl.handle.net/109.3.1/uuid:b2e85f32-6567-4225-8715-e192ade636f0;0;London;dagbladetkoebenhavn
